id,price_doc
30474,5669420.25
30475,8717081.793750001
30476,5646220.171875
30477,6121449.134374999
30478,5053765.9375
30479,9142709.233125
30480,4451415.784375
30481,4452309.465625
30482,5011763.1046875
30483,4861908.024999999
30484,6340967.9296875
30485,4908839.600000001
30486,3964523.444375
30487,4016471.103125
30488,6379438.5703125
30489,6536937.9796875
30490,21992642.890625
30491,19695236.6953125
30492,5577132.8125
30493,13600827.7453125
30494,6991866.0
30495,11052352.5
30496,9048503.75
30497,8633682.95625
30498,4590021.71875
30499,8697479.010937499
30500,11443347.28125
30501,7179046.949999999
30502,3119400.5
30503,7019214.890624999
30504,6056986.162500001
30505,11747967.346874999
30506,3108390.4982812502
30507,4924378.112500001
30508,5446495.23515625
30509,7785293.428125001
30510,8988449.543437501
30511,6731005.303125
30512,6681280.828125
30513,4453942.893750001
30514,3828649.399453125
30515,9580255.3746875
30516,5779851.577500001
30517,10583751.509375
30518,7766587.546875
30519,5038007.8125
30520,7269623.701875
30521,6289876.89375
30522,6785012.697421876
30523,6854249.646875001
30524,10965258.640625
30525,11799306.9375
30526,4878109.71484375
30527,5174295.065625
30528,6856272.473437499
30529,6735772.750000001
30530,6505970.45625
30531,13846819.9796875
30532,4979982.103124999
30533,10780500.84375
30534,6931672.079687499
30535,9038410.762500001
30536,5904217.1640625
30537,11489424.6
30538,4966893.115625001
30539,8696678.265
30540,9277824.22703125
30541,6827745.375
30542,2328455.221875
30543,5675745.69375
30544,7619786.950781249
30545,8865797.459375
30546,4255922.4484375
30547,10760880.0859375
30548,4846809.0671875
30549,5213477.977343749
30550,12907180.059375
30551,5163016.563281249
30552,2317418.4796875003
30553,7968095.850000001
30554,11432444.2375
30555,6259308.825
30556,8253095.36484375
30557,7599836.139843751
30558,9259307.4375
30559,6523599.628125001
30560,5818411.834375001
30561,7126545.1359375
30562,12914579.924999999
30563,4446285.9375
30564,7770754.096875001
30565,7373281.825
30566,7354431.333593749
30567,2372649.9109375
30568,10293789.549999999
30569,10475778.56875
30570,6782685.35625
30571,6953962.109375
30572,4953007.634374999
30573,6531089.5546875
30574,6552633.618749999
30575,7583127.5390625
30576,4406203.896875
30577,3765852.0
30578,3156967.9522265624
30579,7191203.78125
30580,5180799.196875
30581,5376820.004687499
30582,13629898.06875
30583,6924812.001562499
30584,4653497.0625
30585,3048131.921484375
30586,9439125.59234375
30587,6063485.51171875
30588,8409652.40625
30589,7607161.875
30590,12516840.840625001
30591,5484861.065625
30592,7246184.857812501
30593,9074561.185625
30594,7580821.3875
30595,5655700.059375
30596,7717280.06328125
30597,6531089.5546875
30598,9247068.84375
30599,11275117.875
30600,5045980.96875
30601,6284523.296875
30602,2146258.5984374997
30603,12917270.49375
30604,4825186.100000001
30605,6750993.03046875
30606,21858748.3125
30607,6455837.868749999
30608,9252134.915624999
30609,6509413.96875
30610,2904569.971875
30611,5465859.7125
30612,7243347.79375
30613,8497701.065937499
30614,18076718.305625
30615,7441499.64375
30616,5648576.512499999
30617,9761657.7796875
30618,5205583.06875
30619,4188685.0078125005
30620,2979403.1437500003
30621,9687735.28125
30622,8749328.909374999
30623,6048919.0875
30624,6866481.524999999
30625,7211718.828046875
30626,6589213.206250001
30627,8000355.146875
30628,6518760.0909375
30629,5094916.41875
30630,4631029.90703125
30631,5993220.715625
30632,4253535.146875
30633,6416464.853124999
30634,11418373.925
30635,9367551.7340625
30636,5728031.26875
30637,9157773.774375
30638,6277775.8984375
30639,8343033.7125
30640,4945788.290624999
30641,8229603.796874999
30642,6575890.831250001
30643,8409803.125
30644,9341935.3125
30645,7836943.05
30646,5533830.392187499
30647,5101141.73625
30648,23954789.64375
30649,2774929.0
30650,4940305.78125
30651,3225101.4178124997
30652,4772056.25625
30653,8145849.07578125
30654,4713145.4765625
30655,13794499.154687501
30656,3972780.6421875004
30657,6123363.6953125
30658,10666730.765625002
30659,4937522.616874999
30660,8975575.1953125
30661,6484085.46734375
30662,9005454.5125
30663,17297390.5453125
30664,13021797.659374999
30665,6546143.51015625
30666,3235409.67421875
30667,4549482.578437501
30668,10415094.96875
30669,5163035.8484375
30670,2714704.0765625
30671,7525975.387499999
30672,15818507.195625
30673,9726621.299999999
30674,12388651.878124999
30675,2328455.221875
30676,7405036.03125
30677,4405600.3359375
30678,16767407.146875001
30679,5934127.237500001
30680,5833100.1640625
30681,2434931.792890625
30682,8702915.15625
30683,9932447.46625
30684,5162424.9375
30685,7383415.35
30686,9028210.95
30687,4861907.2734375
30688,4595214.57984375
30689,16550934.8875
30690,24989154.45
30691,4936805.29375
30692,6391048.95
30693,10718166.365625
30694,5273612.3671875
30695,6668167.33125
30696,6648570.1
30697,12460092.200000001
30698,7608560.8
30699,6035085.0
30700,4913894.86328125
30701,9348366.9375
30702,6422066.8671875
30703,3974236.946875
30704,11865012.9609375
30705,9116680.2890625
30706,24117053.934375003
30707,3583822.685625
30708,15483850.325
30709,6121928.47875
30710,7843073.1125
30711,4832664.91875
30712,4192090.08984375
30713,5971473.7890625
30714,7873454.55
30715,3986881.2303125
30716,9932447.46625
30717,7127955.45
30718,9967389.546875
30719,16071541.234375
30720,7700020.1578125
30721,3300293.6859375
30722,7483866.01875
30723,6435673.896093749
30724,12258153.717187501
30725,6945535.524999999
30726,11786541.484375
30727,9716631.1
30728,12986318.16
30729,3354444.1793750003
30730,6672077.2328125
30731,6405166.5
30732,4561745.234375
30733,10409854.799999999
30734,6920619.547499999
30735,5423633.857265625
30736,5445018.018750001
30737,7223320.9421875
30738,6184329.615625001
30739,4197255.0746875005
30740,6919682.58984375
30741,12232895.66953125
30742,4360088.90625
30743,4930537.28125
30744,10286248.182031251
30745,7249054.359375
30746,5507860.8065625
30747,18542120.450000003
30748,15710611.38125
30749,5489451.3984375
30750,5882130.4175
30751,3696663.7195312497
30752,8637051.961718751
30753,10891310.13921875
30754,6234476.4578125
30755,4447359.9328125
30756,6742347.71484375
30757,5349753.371875
30758,10743160.453125
30759,6334635.271875001
30760,4137308.958984375
30761,9624023.371875001
30762,6870224.774999999
30763,12159868.4015625
30764,6369764.18203125
30765,5685863.728124999
30766,4147945.6265625
30767,11005795.109375
30768,5214821.1375
30769,7640542.4375
30770,6520186.8703125
30771,2932740.31640625
30772,8957418.5484375
30773,8229603.796874999
30774,5531950.084375001
30775,12218929.3828125
30776,5631965.300000001
30777,6547901.997656249
30778,10013499.721874999
30779,6530096.925
30780,7764373.4625
30781,6550292.280937499
30782,5638860.140625
30783,5587809.3046875
30784,3722756.19140625
30785,4928232.65
30786,4425662.850000001
30787,6408670.6203125
30788,5591283.375
30789,7300397.862500001
30790,6517526.66875
30791,10668229.9734375
30792,6964280.615
30793,12833548.88734375
30794,13998734.95
30795,11966097.0375
30796,11974607.125
30797,15824952.704687499
30798,3047555.3625
30799,10278283.2140625
30800,12375642.7265625
30801,6323352.5
30802,21621830.190625
30803,3025673.513671875
30804,3644504.305
30805,15549068.525000002
30806,6920619.547499999
30807,6028233.745312501
30808,10717838.828125
30809,5005939.913437501
30810,10880991.056249999
30811,4475774.428125
30812,5939746.1515625
30813,5048428.015625
30814,2937169.48875
30815,3899023.6265625004
30816,8720268.475
30817,2113512.20625
30818,8196815.798437499
30819,8190570.04375
30820,5090189.09765625
30821,21940706.421875
30822,10517811.9921875
30823,6945831.309375
30824,3786427.953125
30825,5380764.064453125
30826,10495571.15625
30827,5805353.1375
30828,6028091.5984375
30829,5541765.98828125
30830,9573757.0746875
30831,6138741.2125
30832,6123801.6125
30833,5642573.5625
30834,4357028.61328125
30835,7421521.06875
30836,6719057.808593751
30837,4931694.075
30838,4548663.649999999
30839,6304920.5828125
30840,12516569.5078125
30841,11098618.728125
30842,7354502.90625
30843,5459393.9578125
30844,7570258.523437501
30845,10192672.2359375
30846,4431901.775
30847,6182275.739062499
30848,8720538.75
30849,4583370.796875
30850,4233581.278125
30851,5030341.99453125
30852,6700537.75625
30853,3448266.8015624997
30854,6175121.850000001
30855,8488537.483437499
30856,9086392.00625
30857,2310320.69515625
30858,4513773.125
30859,6253907.862500001
